cond1 cond2 cond1 cond1 cond2 cond1 cond2 cond2 
0.086400 0.048298 0.013005 0.034366 0.042343 0.076232 0.012393 0.049109
0.170988 0.343060 0.161139 0.212821 0.291836 0.183598 0.312233 0.292752
0.319948 0.609875 0.241927 0.254155 0.651477 0.304600 0.546652 0.573371
0.401071 0.929874 0.426878 0.439890 0.851982 0.398258 0.792313 0.809326
0.523330 1.202752 0.511714 0.503803 1.117617 0.561544 0.994028 1.036045
0.606824 1.392778 0.658289 0.630487 1.224770 0.666007 1.239134 1.220232
0.767665 1.484245 0.687819 0.747491 1.425638 0.781799 1.359869 1.373637
0.857386 1.640164 0.801898 0.818411 1.536591 0.786643 1.431895 1.480209
0.906110 1.628935 0.864146 0.896438 1.520407 0.850447 1.532079 1.522289
0.916441 1.578423 0.934552 0.972836 1.512816 0.979319 1.533605 1.508296
1.011875 1.497048 0.964454 0.950973 1.509243 1.027294 1.437595 1.450543
1.025920 1.415508 1.075288 1.014353 1.341412 1.073147 1.431412 1.427415
1.041310 1.178380 1.042397 0.956805 1.224970 0.996373 1.257640 1.272946
1.061347 0.987839 1.041668 1.027031 0.965517 1.073913 1.165812 1.038946
1.041898 0.738534 1.080782 0.985404 0.754694 1.053397 0.943507 0.839846
0.984671 0.354315 1.050637 0.960155 0.530821 0.999704 0.679930 0.538975
0.925915 0.073703 0.981684 0.865568 0.224127 0.921515 0.477857 0.281023
0.888397 -0.235670 0.946163 0.813314 -0.044300 0.817538 0.192851 0.056396
0.797347 -0.507969 0.935742 0.733341 -0.312885 0.816030 -0.074686 -0.212447
0.741362 -0.793380 0.804406 0.593507 -0.578284 0.726309 -0.315924 -0.454791
0.600262 -1.069978 0.758228 0.509150 -0.782243 0.611549 -0.624305 -0.787500
0.555571 -1.251606 0.675893 0.389795 -1.055859 0.482848 -0.788412 -0.977211
0.453009 -1.418397 0.566299 0.257617 -1.175478 0.367947 -1.001156 -1.188330
0.346933 -1.534127 0.463403 0.153566 -1.334418 0.196029 -1.120774 -1.254475
0.187371 -1.571869 0.294916 -0.008449 -1.392490 0.056427 -1.323246 -1.352032
0.055468 -1.495944 0.226896 -0.053652 -1.468815 -0.034607 -1.422895 -1.387980
-0.065720 -1.488821 0.050679 -0.189590 -1.436221 -0.174003 -1.411087 -1.471191
-0.159979 -1.270551 0.013551 -0.370176 -1.328979 -0.304168 -1.428062 -1.365740
-0.274104 -1.083545 -0.191560 -0.401097 -1.218234 -0.386641 -1.395466 -1.319826
-0.399977 -0.920626 -0.272871 -0.506594 -1.009785 -0.490851 -1.299523 -1.079200
-0.573196 -0.664578 -0.334759 -0.692230 -0.814940 -0.627246 -1.155381 -0.904034
-0.611566 -0.303939 -0.531768 -0.768301 -0.546821 -0.670203 -0.953737 -0.735341
-0.673208 0.001180 -0.586882 -0.807958 -0.344864 -0.809022 -0.753499 -0.423169
-0.766274 0.276671 -0.634212 -0.849096 -0.013450 -0.801464 -0.528151 -0.246346
-0.882485 0.588451 -0.780192 -0.882825 0.230214 -0.883736 -0.251604 0.081933
-0.881467 0.884993 -0.803431 -0.852365 0.531541 -0.949963 -0.018109 0.323698
-0.910850 1.111544 -0.872335 -0.913580 0.788820 -0.961797 0.271275 0.643808
-0.983091 1.308706 -0.917795 -0.896981 1.049857 -0.954134 0.498089 0.862649
-0.964957 1.511834 -0.917204 -0.832300 1.252952 -0.940010 0.790282 1.112195
-0.962404 1.572406 -0.960119 -0.853144 1.378212 -0.939974 0.952353 1.286633
-0.947622 1.604932 -0.929101 -0.753007 1.445084 -0.807427 1.142328 1.402342
-0.867392 1.680785 -0.957358 -0.658935 1.506696 -0.749985 1.293706 1.442424
-0.771383 1.539078 -0.942290 -0.596859 1.563087 -0.725477 1.444151 1.563073
-0.733798 1.410846 -0.841220 -0.540431 1.496704 -0.580981 1.527291 1.504674
-0.586043 1.222134 -0.773385 -0.364576 1.422504 -0.550410 1.544792 1.489295
-0.537878 1.075043 -0.719960 -0.295740 1.298789 -0.443543 1.526114 1.327699
-0.436020 0.721534 -0.655904 -0.143411 1.108268 -0.271357 1.420896 1.171376
-0.310716 0.475934 -0.547778 -0.076323 0.834149 -0.191943 1.249263 0.992166
-0.154597 0.216180 -0.468998 0.116114 0.596639 -0.004650 1.147519 0.772342
-0.100499 -0.178332 -0.382879 0.184352 0.360314 0.057867 0.904553 0.525501
0.069093 -0.441437 -0.234381 0.306124 0.055670 0.156200 0.719640 0.284828
0.170022 -0.766800 -0.187179 0.464422 -0.191187 0.366027 0.505735 -0.029868
0.284658 -0.937701 -0.052121 0.595459 -0.463711 0.498232 0.167230 -0.310757
0.418975 -1.170003 0.058214 0.620214 -0.728373 0.551471 -0.061318 -0.515749
0.500798 -1.385580 0.213277 0.716136 -1.019007 0.648246 -0.327815 -0.761211
0.629425 -1.521078 0.345350 0.789008 -1.208751 0.712700 -0.578003 -1.029197
0.777604 -1.494087 0.480123 0.873967 -1.329931 0.890353 -0.738288 -1.170626
0.819577 -1.534675 0.597424 0.929113 -1.414590 0.947336 -0.942291 -1.304405
0.915800 -1.479641 0.683127 1.021618 -1.490627 1.005012 -1.165350 -1.383350
1.004024 -1.351667 0.728938 1.024909 -1.408996 0.973207 -1.242460 -1.446302
1.014434 -1.144942 0.798418 1.043901 -1.346662 0.988434 -1.345706 -1.453671
0.983968 -0.977614 0.868059 1.009895 -1.286907 1.065394 -1.380427 -1.331619
1.049582 -0.690802 0.924637 0.954113 -1.137956 1.044361 -1.404154 -1.249889
1.038549 -0.408628 0.967372 0.912345 -0.951686 0.999834 -1.369626 -1.090687
1.007162 -0.152513 1.050946 0.812921 -0.708503 0.933418 -1.224333 -0.922219
0.986598 0.249662 1.097675 0.726551 -0.377649 0.877978 -1.097750 -0.692190
0.905652 0.554796 1.027920 0.625219 -0.160030 0.822049 -0.956456 -0.393155
0.866064 0.751789 1.051473 0.601065 0.178513 0.725747 -0.757405 -0.169931
0.810267 1.008819 0.998200 0.442602 0.402705 0.680468 -0.465903 0.104402
0.781750 1.257908 1.010848 0.322629 0.730362 0.550449 -0.216972 0.405688
0.652734 1.433044 0.891027 0.233665 0.965742 0.422861 0.036584 0.657739
0.521873 1.583052 0.867554 0.136578 1.145749 0.280746 0.231870 0.928834
0.417504 1.650838 0.758517 -0.067037 1.352927 0.244748 0.529630 1.052040
0.342540 1.640752 0.751753 -0.142454 1.492120 0.089384 0.747461 1.297622
0.177995 1.565451 0.625299 -0.220518 1.550693 -0.058207 0.987873 1.419180
0.045056 1.429671 0.508364 -0.359683 1.585468 -0.160509 1.210630 1.481998
-0.044923 1.311583 0.405692 -0.534501 1.542885 -0.257091 1.359045 1.488903
-0.194713 1.066848 0.332020 -0.634937 1.464444 -0.450818 1.457384 1.506182
-0.299171 0.843205 0.119402 -0.703484 1.319130 -0.532285 1.492950 1.513525
-0.382899 0.556355 0.043023 -0.790066 1.093611 -0.621548 1.504771 1.349092
-0.512042 0.286584 -0.116681 -0.827452 0.953948 -0.729359 1.451001 1.179153
-0.635996 -0.103883 -0.213855 -0.902396 0.712125 -0.832983 1.456993 1.046426
-0.738335 -0.404962 -0.282363 -0.836919 0.462374 -0.857803 1.279014 0.774615
-0.760989 -0.609485 -0.398119 -0.866020 0.126837 -0.909682 1.179495 0.496327
-0.896341 -0.938276 -0.538803 -0.871457 -0.137000 -0.971047 0.933612 0.259059
-0.866625 -1.102604 -0.583203 -0.871054 -0.428594 -0.983008 0.690794 -0.059384
-0.906599 -1.325620 -0.719808 -0.804233 -0.713115 -0.974820 0.542570 -0.331420
-0.967810 -1.425691 -0.806160 -0.829720 -0.864091 -0.879261 0.262472 -0.589950
-0.921121 -1.500144 -0.865037 -0.746513 -1.131598 -0.840590 -0.005991 -0.830980
-0.916913 -1.559319 -0.864253 -0.600535 -1.236336 -0.852080 -0.296037 -1.003198
-0.919511 -1.468212 -0.888433 -0.525001 -1.364323 -0.719769 -0.581112 -1.205081
-0.839621 -1.408698 -0.943252 -0.423721 -1.390887 -0.692470 -0.773805 -1.276941
-0.805834 -1.210133 -0.981187 -0.348241 -1.399425 -0.621248 -0.977842 -1.433396
-0.736944 -1.049327 -0.980937 -0.275597 -1.435366 -0.492251 -1.155313 -1.487327
-0.683877 -0.820062 -0.903668 -0.147610 -1.279563 -0.431525 -1.253744 -1.463498
-0.540203 -0.488158 -0.908248 -0.017525 -1.200861 -0.262629 -1.367190 -1.317697
-0.401868 -0.153980 -0.842296 0.126634 -1.025999 -0.134973 -1.435515 -1.224566
-0.321910 0.146364 -0.791620 0.236269 -0.724328 -0.003805 -1.436564 -1.081097
-0.195792 0.419765 -0.760571 0.348707 -0.539051 0.060232 -1.337600 -0.851410
-0.125169 0.753285 -0.629623 0.455328 -0.270949 0.273886 -1.239154 -0.705203
0.023798 0.949876 -0.532028 0.594451 0.087030 0.308161 -1.138951 -0.434104
0.133287 1.230435 -0.421412 0.655395 0.373294 0.431006 -0.936451 -0.178887
0.348269 1.436283 -0.350446 0.797459 0.608145 0.565434 -0.774954 0.158217
0.461855 1.537977 -0.209094 0.903895 0.842503 0.709213 -0.516126 0.453319
0.580502 1.646504 -0.087608 0.889634 1.097726 0.737334 -0.290372 0.669257
0.650920 1.681690 -0.014467 1.005529 1.259097 0.835673 -0.014257 0.875023
0.694032 1.598448 0.125699 1.000784 1.443387 0.914094 0.238438 1.156315
0.868463 1.479979 0.243494 1.010643 1.510836 0.929972 0.505286 1.283428
0.857840 1.364591 0.362455 0.985021 1.542228 1.060498 0.776838 1.461821
0.906438 1.168368 0.481478 0.959320 1.557862 1.012177 0.921827 1.464719
1.049445 0.921227 0.571773 0.962820 1.488914 1.064658 1.112284 1.516693
1.049521 0.607926 0.709980 0.869956 1.351204 1.059428 1.319778 1.499133
1.024503 0.301791 0.790231 0.837408 1.165386 1.040378 1.402881 1.433569
1.013215 -0.009608 0.874729 0.689047 1.035051 0.975951 1.507742 1.299344
1.029470 -0.317717 0.887643 0.675787 0.822104 0.902043 1.515596 1.223146
1.006007 -0.555537 1.019068 0.575290 0.470577 0.826804 1.515166 1.014330
0.991777 -0.899103 1.031598 0.434291 0.202699 0.747386 1.390437 0.702449
0.881093 -1.064298 1.023970 0.301455 -0.018029 0.646041 1.325006 0.524540
0.811830 -1.334118 1.075042 0.220478 -0.368959 0.544717 1.114893 0.275416
0.724809 -1.446588 1.082608 0.044720 -0.574366 0.431231 0.999585 -0.082368
0.640837 -1.508516 1.002955 -0.091902 -0.840017 0.311412 0.757748 -0.285127
