A B A B A B B A
5.917074 4.060371 12.864337 2.029739 15.201519 0.974965 3.294348 14.420214
5.861930 4.684032 12.352164 2.148706 15.440260 1.337705 4.351785 13.269879
6.280995 5.202952 12.596873 2.410650 15.160996 2.043115 4.407640 16.450587
7.053014 4.891548 13.202021 2.891135 15.164392 2.610446 4.944593 16.655629
9.615626 5.230671 12.752947 3.631814 14.278402 3.184023 4.640374 14.440820
10.251453 4.931309 13.817551 3.855029 16.220815 3.703405 5.112139 16.697693
10.134735 5.100056 14.001045 4.398793 16.911602 4.004006 5.380778 15.516513
9.804674 4.644201 14.180130 4.814528 14.337828 4.667167 5.137228 16.101192
10.228398 4.829606 16.673667 4.822698 18.193793 4.634923 5.237108 16.753467
11.174937 3.837299 16.060006 5.716925 15.509931 4.771553 5.404784 16.550490
10.260032 3.378030 17.257656 5.190778 17.839685 4.677108 4.262184 18.084472
11.628311 3.079901 17.205290 5.112916 18.808497 5.160985 4.215698 17.627912
12.770198 2.048855 17.963011 5.005930 18.464903 4.848290 3.702018 19.030518
13.083222 1.735955 16.831388 4.962359 18.497374 4.861912 3.089709 19.592229
13.247351 1.386559 18.290793 4.710586 17.924018 3.771516 2.957949 19.473818
14.370966 0.470899 18.924848 4.745615 19.057175 3.870810 2.388439 19.255229
14.366830 0.187014 18.399516 3.863159 19.748254 4.125697 1.344497 18.701697
14.489436 -0.204334 19.068863 3.902492 18.828503 2.760266 1.262733 17.837537
15.928868 -1.011016 18.154778 3.535762 20.364451 2.549060 -0.058321 20.148503
14.810509 -1.902904 19.242586 3.126003 18.598069 1.677171 -0.455477 20.801156
16.663644 -2.708792 19.217058 2.432076 20.782768 1.162727 -1.483656 20.631011
15.803702 -3.541040 19.889979 1.570400 18.432406 -0.066171 -2.069685 19.694649
19.296220 -3.862233 20.477705 1.354159 19.353928 -0.196515 -2.408593 19.877676
17.425533 -4.078546 20.201583 0.777650 19.680486 -1.039307 -2.842780 20.237271
16.658331 -4.783237 18.998898 -0.356781 19.210890 -2.073525 -2.926850 20.243906
18.578241 -4.997718 20.764974 -1.116874 19.361994 -2.324994 -3.733952 20.402588
19.091197 -4.793630 19.748614 -1.014297 19.859261 -2.852468 -4.423040 19.917671
17.688179 -4.993723 21.515594 -1.970610 20.144193 -3.143763 -4.668121 19.127267
18.902684 -4.774604 19.028014 -2.604050 19.171614 -3.847266 -4.728968 20.160074
19.552589 -4.772626 21.832190 -3.466648 21.322329 -4.190445 -4.874185 20.184762
19.625821 -4.907561 20.007233 -3.201600 20.971565 -4.349798 -5.212951 19.772660
19.685713 -4.656458 21.469880 -3.641468 19.816940 -4.463193 -4.921523 19.875771
18.002129 -3.913459 18.610502 -3.919582 18.423313 -5.403189 -4.947001 19.489600
20.453191 -3.865966 21.266881 -5.106805 19.208615 -4.774700 -5.012772 20.129309
18.461565 -3.687059 19.000253 -5.279550 17.896951 -4.923642 -4.637901 19.927969
17.814591 -2.466729 20.170688 -5.294051 21.004020 -4.388177 -4.468512 20.995780
20.388089 -2.496544 21.408436 -5.644715 16.852692 -4.260238 -4.114125 20.588305
17.735432 -1.583813 19.845946 -5.504009 17.020127 -4.131492 -3.138865 17.700801
18.947382 -1.304835 19.697941 -5.313472 17.482073 -4.297456 -2.732163 18.006662
19.445185 -0.484996 20.885283 -4.851287 18.635188 -3.088149 -2.598943 20.087892
18.091760 -0.113773 18.877359 -5.044895 17.340921 -2.771023 -1.781740 17.683718
18.170374 1.251414 19.541966 -4.871666 16.621441 -2.342330 -0.763004 18.038060
20.042474 1.567948 19.912954 -4.252442 15.553861 -1.402044 -0.300044 17.403564
20.692366 1.986743 19.003829 -3.998567 17.342944 -1.010961 0.025262 17.610260
18.704680 2.931166 19.081155 -3.609063 15.173884 -0.153683 0.977082 17.241687
21.623827 3.048528 17.749887 -3.108660 16.053413 0.637693 1.558987 17.304697
20.547000 3.104429 18.902500 -2.546857 14.988814 0.840125 2.650313 15.888176
19.398299 3.921718 17.851290 -2.307219 14.303009 1.775467 2.739530 14.640194
19.958198 3.955326 17.453083 -1.045446 14.584790 2.288816 3.311619 15.983780
20.801796 4.597147 16.331617 -0.432494 13.806221 2.769749 3.581090 15.804125
18.917621 4.421513 17.221045 0.494504 12.063527 3.818931 4.207885 14.421142
20.256276 4.480107 16.623491 0.735849 12.169031 3.871256 5.226867 13.215869
17.054569 5.211512 17.131853 1.246815 13.246693 4.421008 4.591452 14.144730
18.035527 4.847156 14.574556 1.921848 12.072000 4.793836 5.249487 13.043326
18.535761 5.087444 12.618950 2.435887 11.709590 4.414642 5.209986 15.458888
17.534825 4.651940 15.471530 2.558757 10.132530 4.567955 4.774302 13.034085
19.622857 4.521742 14.857032 3.672097 7.890329 5.258835 5.127921 11.981325
15.001546 3.471230 14.098571 3.723568 9.109842 4.871114 4.778147 12.649599
16.658094 2.905659 12.972278 4.137436 6.914427 4.472400 4.796943 11.435306
17.564400 2.441458 13.246254 4.946666 6.682125 4.374605 4.175298 9.163400
13.907064 2.144595 12.091772 4.701848 8.975601 4.083903 3.715722 10.076211
16.305899 1.023108 12.053281 4.925938 6.697014 3.409533 3.274170 9.739216
16.319994 0.724906 11.693249 5.034854 8.108587 3.001643 3.221642 10.087846
15.443116 0.202349 11.047742 5.603300 4.490771 2.698074 2.543345 7.969896
15.449255 -0.703749 10.264221 5.322600 6.017293 2.157631 1.912229 7.688864
13.791803 -1.286827 8.156590 5.021946 6.426233 1.060116 1.584839 4.684689
14.691639 -1.793648 8.970118 5.026887 3.486737 0.514241 0.930505 5.399216
12.632011 -2.027052 9.272670 3.961684 4.593392 -0.086575 -0.340440 4.949844
11.040066 -2.815285 7.693080 4.156588 3.037754 -0.389921 -0.281027 3.596536
12.151806 -3.172116 7.116054 3.935615 2.153941 -1.634576 -0.691223 3.328251
11.800363 -3.889958 6.332224 3.298801 1.096025 -2.435199 -1.867107 3.960624
11.121917 -3.889225 6.330829 2.858539 0.260624 -2.228110 -2.279274 4.112960
9.466800 -4.660646 5.525819 2.069396 0.000191 -3.275381 -2.876675 1.885216
10.393347 -5.163744 4.620981 1.944435 0.204083 -3.838438 -3.691760 2.906843
8.769444 -4.536746 2.414010 1.580792 0.130131 -3.834078 -4.011849 0.427238
10.441773 -4.865502 5.505636 0.956925 -1.190267 -4.492729 -4.304869 -0.924442
8.586781 -5.030614 4.581991 0.671049 -4.189727 -4.582267 -4.516386 -0.534576
7.943158 -5.220501 4.151613 -0.481942 -4.778312 -4.683036 -4.649334 -0.840064
7.841026 -4.704119 2.968578 -0.974022 -4.020758 -4.516242 -4.889166 -3.633883
5.939655 -4.961477 1.072204 -1.803457 -2.685529 -4.935754 -5.101772 -2.752695
6.855958 -4.106241 2.006836 -1.962092 -5.767732 -4.781835 -5.289662 -2.294251
5.646901 -3.918331 -0.139511 -2.733871 -6.735775 -4.714202 -5.153769 -2.908201
5.059198 -3.233661 -0.162990 -3.235389 -6.275892 -3.998494 -4.893644 -4.264604
3.992578 -2.599717 0.451411 -3.808160 -8.765536 -3.559107 -4.811949 -5.026586
3.370034 -2.190666 -1.308335 -4.154083 -5.669508 -3.601579 -4.290076 -4.992381
2.830018 -1.245028 -2.908008 -4.658555 -9.171903 -3.254672 -4.108955 -4.629150
2.310268 -1.016156 -5.058146 -4.530092 -8.803504 -2.535101 -3.628186 -5.672357
1.312364 -0.156963 -4.231803 -4.574037 -9.074247 -1.561448 -2.776193 -5.935571
-0.066825 0.835313 -2.894887 -4.852462 -10.265176 -1.410670 -2.383299 -7.532851
1.083181 1.110896 -2.885537 -4.929932 -10.545936 -0.949773 -1.328447 -7.317636
1.654829 1.408983 -3.790098 -5.027127 -11.103041 -0.022505 -1.059025 -9.167921
0.247627 2.563814 -6.206107 -5.013768 -11.595279 0.862704 -0.254800 -8.465337
-2.535415 2.622394 -7.416165 -5.156520 -9.641136 1.287291 0.569748 -8.814107
-3.023033 3.692161 -6.980409 -4.604056 -12.430114 2.195132 1.702130 -9.695705
-3.033103 4.061198 -8.511936 -4.590584 -14.967305 2.179793 1.302154 -11.448428
-3.385973 4.134139 -8.225765 -4.378881 -13.941813 3.609144 1.942993 -11.393894
-4.353962 4.565797 -9.061464 -3.429434 -12.584190 3.269603 2.742667 -13.085711
-4.142662 4.851068 -8.612915 -3.730069 -13.341181 4.094778 3.288250 -11.574304
-5.914276 4.833975 -10.393284 -3.112116 -14.490280 4.694203 3.882745 -14.514359
-6.379475 4.893539 -9.561840 -2.083370 -16.286358 4.407604 4.526402 -12.826343
-5.707002 4.925966 -9.933734 -1.692930 -17.649157 4.854736 4.506414 -12.233116
-6.810890 4.960985 -11.290167 -1.199230 -14.035615 5.067241 5.158545 -15.341797
-6.690458 5.146687 -11.661576 -0.600291 -17.033728 5.175819 5.150194 -12.871047
-9.640483 4.514646 -12.560750 0.436417 -16.971769 4.782483 4.854892 -14.474647
-9.131180 3.994402 -12.793826 0.807039 -16.489956 4.426548 4.604481 -17.493484
-9.176917 3.306732 -11.101618 1.798082 -17.251092 4.109419 5.101027 -16.754052
-10.284062 3.812994 -12.476092 1.944736 -18.185632 3.863258 4.418655 -17.141285
-9.556281 2.600722 -13.580045 2.070514 -18.283361 3.678442 4.902834 -15.337120
-11.421704 2.154643 -16.031804 2.551056 -18.798124 2.940179 4.833138 -16.654906
-10.265501 1.748279 -14.870662 3.240063 -17.640471 2.245237 3.781151 -17.543490
-10.969433 0.610354 -16.111091 3.966553 -18.126367 1.794249 4.128648 -19.826791
-12.458936 -0.225434 -18.117497 4.252189 -20.521356 1.127733 2.994405 -17.954683
-14.748356 -0.578295 -17.325066 4.785871 -19.509173 0.561513 2.206744 -17.806740
-14.481229 -0.849062 -17.275406 4.695678 -19.737426 -0.305189 1.836249 -17.835017
-13.559212 -1.509801 -17.493678 4.765345 -17.535515 -0.733202 1.212975 -15.484164
-15.846163 -2.579245 -18.677218 5.558868 -18.236096 -1.261209 0.902485 -17.290481
-14.704615 -3.186968 -17.697150 5.126001 -20.357190 -2.147024 0.161763 -17.830409
-14.285184 -3.744682 -17.973707 5.302220 -18.667402 -3.150604 -0.605419 -19.478594
-16.966949 -3.955859 -17.433396 4.478310 -19.106145 -3.193516 -1.157419 -20.684216
-16.258655 -4.433789 -17.273195 4.857510 -19.502806 -3.953679 -1.919717 -20.140685
-16.903681 -4.648672 -18.299306 4.873797 -20.864328 -4.093045 -2.525170 -21.869387
-16.499230 -5.049038 -16.763126 4.179176 -20.772644 -4.680297 -3.112596 -20.156636
-18.660014 -5.202909 -19.774616 4.097572 -20.601679 -4.921749 -3.786444 -19.657176
-17.835879 -4.986203 -20.562130 2.989439 -19.217580 -4.768877 -4.255524 -20.608642
-18.218718 -4.955016 -17.468094 2.664567 -19.117678 -4.868573 -4.624221 -19.504869
-16.632990 -4.438835 -20.058907 2.281352 -20.368249 -4.638436 -4.369721 -21.533879
-19.237855 -4.822841 -20.071850 1.851393 -16.658394 -4.597445 -5.044981 -19.139563
-20.053482 -4.145082 -21.355917 1.293087 -19.306028 -5.155560 -5.081771 -19.988437
-17.852736 -4.619478 -20.927860 0.463776 -19.548212 -4.610360 -5.636563 -18.617762
-19.145908 -3.531537 -19.440427 0.115974 -18.328278 -3.969943 -5.322793 -20.976983
-18.785727 -3.017365 -20.003872 -0.495970 -19.203232 -2.997659 -5.373449 -19.395922
-18.396356 -2.582570 -19.422598 -1.097171 -18.082084 -2.924129 -4.319005 -20.472451
-19.711855 -1.884944 -19.905654 -1.705928 -17.198166 -1.959326 -4.573042 -18.380153
-18.819651 -1.360017 -20.519986 -2.190730 -17.171270 -1.673236 -4.266875 -18.267860
-19.071059 -0.532864 -20.861181 -2.888880 -17.431925 -1.093685 -3.703514 -21.118477
-19.012501 -0.019345 -20.440313 -3.652708 -16.565660 0.200450 -3.104656 -20.099644
-21.551393 1.199871 -20.381750 -4.056879 -18.786780 0.471418 -3.269212 -19.950707
-19.387195 1.318415 -21.956042 -4.213631 -16.062756 1.111150 -2.272311 -18.149768
-20.472295 2.240453 -20.711509 -4.299481 -14.659918 2.375451 -1.240916 -16.863202
-19.768844 2.804770 -21.099246 -4.778464 -16.573647 2.775656 -0.834130 -18.263602
-18.868915 3.164980 -19.118903 -4.849858 -14.190783 2.942378 -0.279007 -18.539293
-19.399934 3.493777 -18.647277 -5.214770 -15.376578 3.542214 0.687669 -18.930165
-20.967083 3.531144 -20.555841 -5.288054 -15.709261 4.065514 1.218902 -17.191656
-19.260857 4.362416 -19.545430 -5.153831 -13.674041 3.880172 1.371746 -17.291741
-19.872098 4.676114 -19.145849 -5.000966 -15.313691 4.389748 1.841043 -17.077274
-18.706737 4.543244 -20.337170 -4.526306 -14.418455 4.379630 3.492490 -16.401014
-19.606852 4.704711 -18.411976 -5.200445 -13.107885 5.318647 3.540520 -16.274938
-19.050120 5.083261 -18.322450 -4.466894 -11.406723 5.439773 3.768900 -14.872602
-20.903592 5.079450 -17.679941 -3.792920 -11.962307 4.681807 4.385777 -15.935173
-19.964610 4.636609 -19.089520 -2.944923 -12.257760 4.412815 4.352656 -16.114798
-19.324498 4.605778 -19.055487 -3.100570 -11.956804 4.207054 4.600697 -15.063634
-19.863150 4.155924 -17.112850 -2.709358 -9.368242 4.006858 5.107262 -16.067510
-18.155081 4.099858 -16.495474 -1.883119 -10.317499 3.455462 5.083135 -15.438240
-17.968683 3.819703 -16.598691 -1.302552 -10.602900 3.432040 5.055997 -13.800679
-17.642343 2.877864 -16.647678 -0.446917 -8.737476 2.980651 5.069858 -12.589236
-17.915004 2.967606 -16.191551 -0.495927 -8.289893 1.708710 4.689065 -12.550413
-17.585188 1.907590 -14.372660 0.292686 -8.848317 1.699107 4.448014 -11.736062
-17.392866 0.866378 -14.343285 1.411460 -7.828374 -0.040244 4.178892 -12.272132
-16.442248 0.756923 -14.678712 2.210149 -6.463565 0.152787 3.905592 -13.417972
-16.878038 0.194130 -13.175870 2.226320 -5.409263 -0.904746 3.873502 -9.979505
-16.268864 -0.800684 -15.141826 2.325766 -4.774748 -1.175740 2.871249 -10.916173
-16.775067 -1.138007 -14.828949 3.252191 -4.308762 -1.883424 2.093581 -7.777657
-14.661080 -2.298474 -13.817557 4.092195 -3.514204 -2.014044 1.728791 -9.034441
-14.078123 -2.186317 -12.732802 4.215256 -4.351472 -2.968922 0.895373 -8.638027
-14.567363 -3.149334 -10.011131 4.125174 -4.327252 -3.282575 0.272645 -9.277237
-13.147189 -3.812566 -12.230495 4.573331 -1.686986 -4.168097 -0.329348 -8.003556
-14.266180 -4.364670 -10.613973 5.018570 -4.101171 -4.688074 -0.797897 -7.498371
-15.592306 -4.306732 -12.341193 4.729158 -2.076857 -4.556680 -1.467255 -6.663841
-11.308337 -4.666990 -10.345438 4.923952 0.281304 -5.038338 -2.227863 -4.826520
-14.036642 -5.439634 -8.472693 5.421694 1.720435 -4.298666 -2.663195 -4.355044
-12.322742 -5.163428 -8.454720 5.092218 1.711147 -4.634027 -3.292247 -3.742568
-11.588856 -5.528039 -8.590439 4.646115 0.974722 -4.682361 -3.960010 -2.926150
-11.313242 -5.190807 -6.397218 4.987793 2.745843 -5.010638 -4.340540 -2.930390
-9.387733 -5.115449 -7.083219 4.079346 2.760642 -4.054171 -4.601242 -2.598011
-8.779405 -4.618961 -6.860212 3.948595 3.405798 -4.226386 -4.461147 -3.174637
-9.531090 -4.392674 -7.240073 3.717043 2.758193 -3.619451 -5.098613 -0.746741
-9.518016 -3.650341 -6.161334 3.639513 3.108816 -3.335509 -4.973630 -0.403201
-9.233332 -3.100906 -4.968285 2.280033 4.572525 -2.054307 -5.107597 1.046420
-6.598854 -2.561098 -3.721163 1.698720 4.837701 -1.550891 -4.996991 1.496963
-7.597787 -2.611832 -2.065499 1.358551 4.766014 -1.202119 -4.811635 2.202945
-5.431208 -1.439001 -1.673336 1.046900 7.853371 -0.134512 -4.980827 3.405988
-6.280976 -0.767415 -2.490764 0.294556 7.632038 -0.043836 -4.511891 3.095877
-6.428261 -0.185925 0.217703 -0.546980 8.212871 0.802981 -3.973935 2.002521
-3.810237 0.051823 -0.234308 -0.779978 9.576612 1.828201 -3.614608 1.656784
-4.677897 0.674237 -0.488737 -1.333176 10.073955 2.292729 -2.951682 4.433958
-2.802228 1.741881 0.765123 -2.057913 10.528273 2.276420 -2.607149 4.187758
-2.366161 2.469569 1.457478 -2.779819 11.719082 3.205103 -1.624875 5.477475
-0.523019 3.318882 1.771809 -3.164660 10.665223 3.726795 -1.005254 7.821134
-1.461415 2.820154 4.086230 -3.656257 11.955380 4.140509 -0.580980 6.464487
