A B A A B B A B
13.008838 1.107088 17.880690 8.317100 5.536196 1.544322 15.610382 2.480922
12.583680 3.458573 18.440531 6.373727 4.261375 2.068417 17.185316 3.280002
14.227704 4.296678 19.830113 8.510304 5.665666 3.211488 18.407593 4.543971
13.797248 3.805845 20.328686 10.358359 7.028824 2.144817 17.227507 5.301089
14.933966 6.580197 21.343410 7.869013 5.652980 4.341786 16.390417 4.464258
17.060072 5.128112 21.381021 10.568964 7.073485 4.205040 18.489662 5.922862
15.132101 3.361076 20.193411 11.091626 5.862769 4.223333 19.188175 6.425144
15.379904 6.069743 22.401993 12.422790 4.511850 4.434541 21.629836 5.882037
16.752416 5.021692 21.567841 12.705484 4.419072 5.640009 19.594272 5.729622
16.590766 7.180060 22.044294 14.171047 3.442963 6.026499 22.264948 5.321242
19.047323 4.307883 21.157475 11.906942 4.278578 5.644981 19.818875 5.128229
18.719479 2.500588 21.742164 12.976653 3.029917 4.323224 19.676693 4.352891
17.872461 5.028217 21.536170 12.382025 1.665187 4.229964 20.666445 4.840418
18.585233 4.443448 22.554608 14.651354 1.245238 4.597533 20.093406 4.441853
18.615222 3.977706 21.365242 16.375817 2.390976 4.403189 20.087554 2.860746
20.167785 3.571825 21.416945 15.037319 1.147144 6.541626 20.958964 2.242221
21.386093 1.691698 22.867846 17.342600 0.063549 2.930597 22.533894 2.036948
20.312560 1.930995 23.224241 16.479256 -0.397387 1.747264 21.713748 1.147133
21.022379 1.247223 23.445219 17.218094 0.020412 2.479346 21.467093 -0.699623
23.489851 -1.405691 23.280015 16.600826 -0.613200 -1.265401 21.521914 0.608719
22.021026 -1.084944 23.219492 19.757212 -3.587886 0.918774 20.927398 0.272050
21.123070 -1.858979 23.037966 19.014451 -2.878156 -0.713122 22.174771 0.215703
22.112582 -2.027610 23.563542 18.483467 -4.678133 -2.443782 22.076216 -2.011550
22.150594 -2.747524 22.602707 19.591380 -4.251799 -1.749512 23.403725 -3.155738
21.923736 -3.809517 22.326257 20.530829 -3.824436 -3.070094 21.284761 -2.520669
22.644324 -3.617523 21.780281 18.963145 -3.154895 -2.445452 22.859777 -2.053855
